처리장명,계열,생화학적산소요구량(BOD(mg_L)),총유기탄소량(TOC(mg_L)),부유물질량(SS(mg_L)),총질소(T-N(mg_L)),총인(T-P(mg_L)),대장균(개_mL),측정일(1주간)
공공하수1처리장,생활계열,0.3,4.1,2.1,3.311,0.443,4,2024-07-21
공공하수1처리장,공장계열,1.3,8.3,2.4,5.026,0.968,53,2024-07-21
공공하수2처리장,생활계열,1.1,3.7,1.5,5.777,0.399,6,2024-07-21
대부하수처리장,생활계열,0.3,2.5,0.3,3.453,0.256,25,2024-07-21
공공하수1처리장,생활계열,0.5,4.8,1.8,2.924,0.233,5,2024-06-30
공공하수1처리장,공장계열,1,9.3,2,4.988,0.959,60,2024-06-30
공공하수2처리장,생활계열,0.4,4.7,2.5,8.436,0.755,5,2024-06-30
대부하수처리장,생활계열,0.3,3.1,0.5,2.896,0.996,17,2024-06-30
공공하수1처리장,생활계열,0.4,5.2,2.3,3.889,0.249,3,2024-05-26
공공하수1처리장,공장계열,2.8,10.8,2.6,5.834,0.705,10,2024-05-26
공공하수2처리장,생활계열,0.9,4.7,1.5,8.29,0.423,5,2024-05-26
대부하수처리장,생활계열,0.4,3.4,0.4,2.635,1.173,26,2024-05-26
공공하수1처리장,생활계열,2.5,7.4,4.5,6.261,0.574,18,2024-04-28
공공하수1처리장,공장계열,3.5,10.5,3.1,6.923,0.722,242,2024-04-28
공공하수2처리장,생활계열,0.5,4.4,2.3,7.778,0.407,384,2024-04-28
대부하수처리장,생활계열,0.6,2.8,0.3,3.194,0.828,24,2024-04-28
공공하수1처리장,생활계열,5.7,5.9,3.5,5.935,0.362,179,2024-03-31
공공하수1처리장,공장계열,3.4,10.9,2.2,8.862,0.851,162,2024-03-31
공공하수2처리장,생활계열,2,4.7,1.8,9.115,0.259,596,2024-03-31
대부하수처리장,생활계열,0.7,2.7,0.3,3.875,0.796,29,2024-03-31
공공하수1처리장,생활계열,2.3,6.2,3.3,6.686,0.377,71,2024-02-25
공공하수1처리장,공장계열,6.2,10.5,5.3,7.444,1.032,267,2024-02-25
공공하수2처리장,생활계열,2.4,4.5,2.7,9.602,0.355,373,2024-02-25
대부하수처리장,생활계열,0.8,2.5,0.3,5.593,0.712,5,2024-02-25
공공하수1처리장,생활계열,4.9,6,4.1,6.666,0.343,212,2024-01-28
공공하수1처리장,공장계열,3.5,11.4,4.8,8.437,0.6,359,2024-01-28
공공하수2처리장,생활계열,2.3,4.2,2,9.18,0.14,236,2024-01-28
대부하수처리장,생활계열,0.9,2.5,0.3,5.551,0.854,6,2024-01-28
공공하수1처리장,생활계열,5,5.1,2.7,7.274,0.46,167,2023-12-31
공공하수1처리장,공장계열,2.4,10.9,5.6,9.42,0.748,14,2023-12-31
공공하수2처리장,생활계열,1.3,4.2,1.8,9.323,0.135,126,2023-12-31
대부하수처리장,생활계열,0.5,2.5,0.2,7.285,0.741,14,2023-12-31
