시군구,회사명,도로명주소,데이터기준일자
안산시,(주)가가,"경기도 안산시 단원구 새뿔길 22-7 (신길동, 금호유통)",2024-02-13
안산시,(주)고려정공,"경기도 안산시 상록구 안산테콤길 43 (사사동, 고려정공)",2024-02-13
안산시,(주)고향미트,"경기도 안산시 상록구 소학1길 6-10, 3층 (팔곡이동)",2024-02-13
안산시,(주)광일시스템,경기도 안산시 상록구 담원2길 7 (팔곡이동),2024-02-13
안산시,(주)글로벌원,"경기도 안산시 상록구 도금단지1길 54, 에이동 (팔곡이동, 대호금속)",2024-02-13
안산시,(주)나르크테크놀로지,경기도 안산시 단원구 연수원로 64 (원곡동) 창업기업보육센타 105호,2024-02-13
안산시,(주)남양,"경기도 안산시 상록구 한양대학로 86,  청양빌딩 4층 (사동)",2024-02-13
안산시,(주)남영물산,"경기도 안산시 상록구 영화4길 19 (사동, (주)남영물산)",2024-02-13
안산시,(주)네오드,경기도 안산시 상록구 도금단지2길 17-8 (팔곡이동),2024-02-13
안산시,(주)네오팜그린,"경기도 안산시 상록구 수인로 736, 2층 (사사동)",2024-02-13
안산시,(주)네오팜그린,경기도 안산시 상록구 도금단지2길 17-8 (팔곡이동),2024-02-13
안산시,(주)네오팜그린,경기도 안산시 상록구 팔곡산단4길 17(팔곡이동),2024-02-13
안산시,(주)넥스모어시스템즈,"경기도 안산시 상록구 성안2길 19, 경기빌딩 201호 (사동)",2024-02-13
안산시,(주)누리온,경기도 안산시 상록구 팔곡두레길 111 (팔곡일동),2024-02-13
안산시,(주)다올아이티에스,"경기도 안산시 상록구 건건로 117, 402호 (건건동)",2024-02-13
안산시,(주)다우린,경기도 안산시 상록구 영화길 4(사동),2024-02-13
안산시,(주)다이아윙스,"경기도 안산시 상록구 양지편로 33, 202호 (이동, 한솔빌딩)",2024-02-13
안산시,(주)다진기업,경기도 안산시 상록구 안산벌말길 10-4 (장하동),2024-02-13
안산시,(주)다진기업,경기도 안산시 상록구 팔곡산단2길 4 (팔곡이동),2024-02-13
안산시,(주)대기월드,경기도 안산시 상록구 반월천남길 80 (팔곡일동),2024-02-13
안산시,(주)대륙정보시스템,"경기도 안산시 단원구 꽃우물1길 22-9, 2층(화정동)",2024-02-13
안산시,(주)대명퍼니쳐,경기도 안산시 상록구 청곡길 2-1 (부곡동),2024-02-13
안산시,(주)대산엔터프라이즈,경기도 안산시 상록구 오목로13길 14 (본오동),2024-02-13
안산시,(주)대산엔터프라이즈,경기도 안산시 상록구 선진6길 34 (사동),2024-02-13
안산시,(주)대양레미콘,"경기도 안산시 단원구 장골1길 46 (대부남동, (주)태양레미콘)",2024-02-13
안산시,(주)대창엔지니어링,경기도 안산시 상록구 도금단지1길 30 (팔곡이동),2024-02-13
안산시,(주)더존필터,경기도 안산시 단원구 바라지길 26-9 (신길동),2024-02-13
안산시,(주)덕유이앤씨,"경기도 안산시 상록구 서당길 25, 1동(양상동)",2024-02-13
안산시,(주)동성,경기도 안산시 상록구 안산테콤길 32 (사사동),2024-02-13
안산시,(주)동양정밀가스켓 사동공장,경기도 안산시 상록구 선진6길 48 (사동),2024-02-13
안산시,(주)동양테크,경기도 안산시 상록구 도금단지1길 18-12 (팔곡이동),2024-02-13
안산시,(주)두드림,"경기도 안산시 상록구 항가울로 268, 2층 (사동)",2024-02-13
안산시,(주)두손피씨,경기도 안산시 단원구 황새바위길 94 (신길동),2024-02-13
안산시,(주)드림씨티에스,"경기도 안산시 상록구 샘골로4길 16, 1층 (본오동)",2024-02-13
안산시,(주)디에스이엔티,"경기도 안산시 상록구 안산테콤1길 22 (사사동, 대성엔지니어링안산사옥)",2024-02-13
안산시,(주)디에스케이,경기도 안산시 상록구 안산테콤1길 21 (사사동),2024-02-13
안산시,(주)디에스케이,경기도 안산시 상록구 수인로 710 (사사동),2024-02-13
