결제구분,접수일자,품목 및 규격,수량,단가,합계,데이터기준일자
결제,2024-07-02,소파(3인용),1,5000,5000,2024-07-02
미결제,2024-07-02,청소기(높이 1m 미만),1,0,0,2024-07-02
미결제,2024-07-02,홈시어터(모든규격),1,0,0,2024-07-02
결제,2024-07-02,대나무자리(5m당),1,2000,2000,2024-07-02
결제,2024-07-02,선풍기(모든규격),1,0,0,2024-07-02
결제,2024-07-02,선풍기(모든규격),1,0,0,2024-07-02
결제,2024-07-02,서랍장(5단 이상),1,5000,5000,2024-07-02
결제,2024-07-02,소파(4인용),1,8000,8000,2024-07-02
결제,2024-07-02,선풍기(모든규격),1,0,0,2024-07-02
결제,2024-07-02,소파(2인용),1,3000,3000,2024-07-02
미결제,2024-07-02,소파(2인용),1,3000,3000,2024-07-02
미결제,2024-07-02,선풍기(모든규격),1,0,0,2024-07-02
미결제,2024-07-01,서랍장(4단 이하),1,2000,2000,2024-07-02
미결제,2024-07-01,쌀통(기본형),1,2000,2000,2024-07-02
결제,2024-07-01,책상(일반용),1,5000,5000,2024-07-02
결제,2024-07-01,책상(일반용),1,5000,5000,2024-07-02
결제,2024-07-01,소파(3인용),1,5000,5000,2024-07-02
결제,2024-07-01,여행용가방( ),1,2000,2000,2024-07-02
결제,2024-07-01,여행용가방( ),1,2000,2000,2024-07-02
결제,2024-07-01,"빨래건조대,이불( )",1,2000,2000,2024-07-02
결제,2024-07-01,거울(110x120cm이상),1,5000,5000,2024-07-02
결제,2024-07-01,의자(1인용),1,2000,2000,2024-07-02
미결제,2024-07-01,카페트(180x180cm 미만),1,5000,5000,2024-07-02
미결제,2024-07-01,매트리스( ),1,8000,8000,2024-07-02
결제,2024-07-01,침대(1인용세트),1,11000,11000,2024-07-02
결제,2024-07-01,욕조(성인욕조(1인용)),1,5000,5000,2024-07-02
결제,2024-07-01,유아용놀이매트(5m당),1,2000,2000,2024-07-02
미결제,2024-07-01,의자(1인용),1,2000,2000,2024-07-02
결제,2024-07-01,거울(110x120cm이상),1,5000,5000,2024-07-02
결제,2024-07-01,나무묶음(10kg이내),1,1000,1000,2024-07-02
결제,2024-07-01,유아용카시트( ),1,2000,2000,2024-07-02
결제,2024-07-01,"유모차,휠체어( )",1,2000,2000,2024-07-02
미결제,2024-07-01,유아용전동차( ),1,2000,2000,2024-07-02
결제,2024-07-01,공기청정기(높이 1m 미만),1,0,0,2024-07-02
결제,2024-07-01,"빨래건조대,이불( )",1,2000,2000,2024-07-02
결제,2024-07-01,"빨래건조대,이불( )",1,2000,2000,2024-07-02
결제,2024-07-01,탁구대( ),1,8000,8000,2024-07-02
결제,2024-07-01,식탁(의자별도)(6인용미만),1,3000,3000,2024-07-02
결제,2024-07-01,책장(4단 이하),1,2000,2000,2024-07-02
미결제,2024-07-01,소파(1인용),1,2000,2000,2024-07-02
미결제,2024-07-01,서랍장(5단 이상),1,5000,5000,2024-07-02
미결제,2024-07-01,장롱(120cm 이상),1,13000,13000,2024-07-02
미결제,2024-07-01,장롱(120cm 이상),1,13000,13000,2024-07-02
미결제,2024-07-01,장롱(120cm 이상),1,13000,13000,2024-07-02
미결제,2024-07-01,소파(2인용),1,3000,3000,2024-07-02
미결제,2024-07-01,소파(2인용),1,3000,3000,2024-07-02
미결제,2024-07-01,"침대틀(1,2인용)",1,8000,8000,2024-07-02
결제,2024-07-01,거울(110x120cm미만),1,2000,2000,2024-07-02
결제,2024-07-01,카페트(180x180cm 미만),1,5000,5000,2024-07-02
결제,2024-07-01,카페트(180x180cm 미만),1,5000,5000,2024-07-02
결제,2024-07-01,카페트(180x180cm 미만),1,5000,5000,2024-07-02
결제,2024-07-01,화분(대형),1,2000,2000,2024-07-02
결제,2024-07-01,화분(대형),1,2000,2000,2024-07-02
결제,2024-07-01,선풍기(모든규격),1,0,0,2024-07-02
결제,2024-07-01,선풍기(모든규격),1,0,0,2024-07-02
결제,2024-07-01,협탁(보조책상)( ),1,2000,2000,2024-07-02
결제,2024-07-01,유아용미끄럼틀( ),1,5000,5000,2024-07-02
결제,2024-07-01,상(5인 이상),1,5000,5000,2024-07-02
결제,2024-07-01,나무묶음(10kg이내),1,1000,1000,2024-07-02
결제,2024-07-01,유리(1m 이상),1,5000,5000,2024-07-02
결제,2024-07-01,장롱(120cm 미만),1,11000,11000,2024-07-02
결제,2024-07-01,장롱(120cm 미만),1,11000,11000,2024-07-02
결제,2024-07-01,장롱(120cm 미만),1,11000,11000,2024-07-02
결제,2024-07-01,장롱(120cm 미만),1,11000,11000,2024-07-02
결제,2024-07-01,나무묶음(10kg이내),1,1000,1000,2024-07-02
결제,2024-07-01,나무묶음(10kg이내),1,1000,1000,2024-07-02
결제,2024-07-01,나무묶음(10kg이내),1,1000,1000,2024-07-02
결제,2024-07-01,나무묶음(10kg이내),1,1000,1000,2024-07-02
결제,2024-07-01,매트리스( ),1,8000,8000,2024-07-02
결제,2024-07-01,"침대틀(1,2인용)",1,8000,8000,2024-07-02
미결제,2024-07-01,협탁(보조책상)( ),1,2000,2000,2024-07-02
결제,2024-07-01,"빨래건조대,이불( )",1,2000,2000,2024-07-02
결제,2024-07-01,"빨래건조대,이불( )",1,2000,2000,2024-07-02
결제,2024-07-01,아기침대(세트),1,5000,5000,2024-07-02
결제,2024-07-01,골프가방( ),1,3000,3000,2024-07-02
결제,2024-07-01,골프가방( ),1,3000,3000,2024-07-02
결제,2024-07-01,골프가방( ),1,3000,3000,2024-07-02
결제,2024-07-01,골프가방( ),1,3000,3000,2024-07-02
결제,2024-07-01,골프가방( ),1,3000,3000,2024-07-02
결제,2024-07-01,골프가방( ),1,3000,3000,2024-07-02
결제,2024-07-01,골프가방( ),1,3000,3000,2024-07-02
결제,2024-07-01,골프가방( ),1,3000,3000,2024-07-02
결제,2024-07-01,골프가방( ),1,3000,3000,2024-07-02
결제,2024-07-01,골프가방( ),1,3000,3000,2024-07-02
결제,2024-07-01,골프가방( ),1,3000,3000,2024-07-02
결제,2024-07-01,골프가방( ),1,3000,3000,2024-07-02
결제,2024-07-01,골프가방( ),1,3000,3000,2024-07-02
결제,2024-07-01,골프가방( ),1,3000,3000,2024-07-02
결제,2024-07-01,골프가방( ),1,3000,3000,2024-07-02
결제,2024-07-01,골프가방( ),1,3000,3000,2024-07-02
결제,2024-07-01,골프가방( ),1,3000,3000,2024-07-02
결제,2024-07-01,골프가방( ),1,3000,3000,2024-07-02
결제,2024-07-01,유아용놀이매트(5m당),1,2000,2000,2024-07-02
결제,2024-07-01,유아용놀이매트(5m당),1,2000,2000,2024-07-02
결제,2024-07-01,유아용놀이매트(5m당),1,2000,2000,2024-07-02
결제,2024-07-01,협탁(보조책상)( ),1,2000,2000,2024-07-02
결제,2024-07-01,소파(2인용),1,3000,3000,2024-07-02
결제,2024-07-01,소파(4인용),1,8000,8000,2024-07-02
결제,2024-07-01,가정용운동매트( ),1,2000,2000,2024-07-02
미결제,2024-07-01,장롱(120cm 이상),1,13000,13000,2024-07-02
미결제,2024-07-01,장롱(120cm 이상),1,13000,13000,2024-07-02
미결제,2024-07-01,안마의자( ),1,13000,13000,2024-07-02
결제,2024-07-01,책상(일반용),1,5000,5000,2024-07-02
결제,2024-07-01,매트리스( ),1,8000,8000,2024-07-02
결제,2024-07-01,책장(5단 이상),1,5000,5000,2024-07-02
미결제,2024-07-01,협탁(보조책상)( ),1,2000,2000,2024-07-02
미결제,2024-07-01,협탁(보조책상)( ),1,2000,2000,2024-07-02
결제,2024-07-01,매트리스( ),1,8000,8000,2024-07-02
미결제,2024-07-01,협탁(보조책상)( ),1,2000,2000,2024-07-02
미결제,2024-07-01,협탁(보조책상)( ),1,2000,2000,2024-07-02
결제,2024-07-01,여행용가방( ),1,2000,2000,2024-07-02
결제,2024-07-01,장식장(90x180cm 미만),1,5000,5000,2024-07-02
결제,2024-07-01,매트리스( ),1,8000,8000,2024-07-02
결제,2024-07-01,매트리스( ),1,8000,8000,2024-07-02
결제,2024-07-01,신발장(높이 1m 미만),1,2000,2000,2024-07-02
결제,2024-07-01,컴퓨터(본체(모든규격)),1,0,0,2024-07-02
결제,2024-07-01,책상(일반용),1,5000,5000,2024-07-02
결제,2024-07-01,전기(가스)난로(높이 1m 미만),1,0,0,2024-07-02
결제,2024-07-01,침대(2인용세트),1,13000,13000,2024-07-02
결제,2024-07-01,소파(1인용),1,2000,2000,2024-07-02
결제,2024-07-01,소파(2인용),1,3000,3000,2024-07-02
결제,2024-07-01,파라솔( ),1,3000,3000,2024-07-02
결제,2024-07-01,전자레인지(모든규격),1,0,0,2024-07-02
결제,2024-07-01,소파(3인용),1,5000,5000,2024-07-02
결제,2024-07-01,TV거실장(120cm 초과),1,5000,5000,2024-07-02
미결제,2024-07-01,TV거실장(120cm 초과),1,5000,5000,2024-07-02
미결제,2024-07-01,전자레인지(모든규격),1,0,0,2024-07-02
미결제,2024-07-01,소파(2인용),1,3000,3000,2024-07-02
결제,2024-07-01,"간판(가로, 세로 1m 이상)",1,8000,8000,2024-07-02
결제,2024-07-01,액자(높이 1m 이상),1,3000,3000,2024-07-02
결제,2024-07-01,여행용가방( ),1,2000,2000,2024-07-02
