최초지정일,집계년도,사업장명,대표자명,사업장 도로명주소,사업장 지번주소,지정일,지정종료,재지정여부,관할기관명,업종명,대기종별구분명,폐수종별구분명,데이터기준일자
2018-04-19,2022,중소벤처기업진흥공단 중소기업연수원,연수원장,경기도 안산시 단원구 연수원로 87 (원곡동),경기도 안산시 단원구 원곡동 931번지,2021-10-15,2024-10-14,Y,안산시 환경정책과,그 외 기타 교육기관,4,5,2024-10-24
2018-04-19,2022,한국가스공사 가스연구원,연구원장,경기도 안산시 상록구 수인로 1248 (일동),경기도 안산시 상록구 일동 638-1,2021-10-25,2024-10-24,Y,안산시 환경정책과,실험실,5,5,2024-10-24
2018-04-19,2022,한국농어촌공사농어촌연구원,연구원장,경기도 안산시 상록구 해안로 870 (사동),경기도 안산시 상록구 사동 1031-7번지,2021-10-25,2024-10-24,Y,안산시 환경정책과,실험실,,5,2024-10-24
2018-04-19,2022,안산대학교,총창,경기도 안산시 상록구 안산대학로 155 (일동),경기도 안산시 상록구 일동 752번지,2021-10-25,2024-10-24,Y,안산시 환경정책과,실험실,,5,2024-10-24
2018-04-19,2022,신안산대학교,강성락,경기도 안산시 단원구 신안산대학로 135 (초지동),경기도 안산시 단원구 초지동 671번지,2021-10-15,2024-10-14,Y,안산시 환경정책과,그 외 기타 교육기관,,5,2024-10-24
2018-04-19,2022,㈜양지피앤알,박재웅,경기도 안산시 상록구 선진1길 9 (사동),경기도 안산시 상록구 사동 1489-8번지,2021-10-25,2024-10-24,Y,안산시 환경정책과,비철금속(기타),5,5,2024-10-24
2018-04-19,2022,(주)경화,정성곤,경기도 안산시 상록구 성호로 14길 11(부곡동),경기도 안산시 상록구 부곡동 685-5번지,2021-10-25,2024-10-24,Y,안산시 환경정책과,인쇄출판,,5,2024-10-24
2018-04-19,2022,한국전기연구원,원장,경기도 안산시 상록구 항가울로111 (사동),경기도 안산시 상록구 사동 1271-19번지,2021-10-15,2024-10-14,Y,안산시 환경정책과,실험실,5,5,2024-10-24
2018-04-19,2022,(주)창대,송성필,경기도 안산시 상록구 구룡로2길 16 (일동),경기도 안산시 상록구 일동 120-7번지,2021-10-25,2024-10-24,Y,안산시 환경정책과,"출판,인쇄",,5,2024-10-24
2018-04-19,2022,온누리병원,박연호 외 2명,경기도 안산시 단원구 선부로 201 (선부동),경기도 안산시 단원구 선부동 1087-27,2021-10-15,2024-10-14,Y,안산시 환경정책과,병원,,5,2024-10-24
2018-04-19,2022,㈜제이에이치정밀,대표이사,경기도 안산시 상록구 안산테콤길 28(사사동),경기도 안산시 상록구 사사동 119-104,2021-10-15,2024-10-14,Y,안산시 환경정책과,금속절삭기계제조업,,5,2024-10-24
2006-05-26,2024,(주)경일금속,이선희,경기도 안산시 단원구 신원로91번길 28,경기도 안산시 단원구 성곡동 632,2022-05-26,2025-05-25,Y,안산시 산단환경과,알루미늄압연및압출업,5,,2024-10-24
2020-11-05,2024,(주)남성실업,박대춘,경기도 안산시 단원구 동산로 27번길 86-16,경기도 안산시 단원구 원시동 769-7,2023-02-25,2026-02-24,Y,안산시 산단환경과,도금업,5,5,2024-10-24
2009-02-25,2024,(주)대지석유산업주유소,"이두한,이호석",경기도 안산시 단원구 동산로 42,경기도 안산시 단원구 원시동 777-4 ,2023-10-23,2026-10-22,Y,안산시 산단환경과,운송장비용 주유소 운영업,,5,2024-10-24
2009-10-23,2024,(주)대하맨텍,양동연,경기도 안산시 단원구 별망로 516,경기도 안산시 단원구 원시동 741-9 ,2022-03-01,2025-02-28,Y,안산시 산단환경과,그외기타분류안된화학제품제조업외2,5,5,2024-10-24
2007-07-16,2024,(주)동서,대표이사,경기도 안산시 단원구 해봉로 327,경기도 안산시 단원구 신길동 1114 ,2023-12-15,2026-12-14,Y,안산시 산단환경과,기타 인쇄업,4,,2024-10-24
2009-12-15,2024,(주)센텍,대표이사,경기도 안산시 단원구 해안로 62,경기도 안산시 단원구 성곡동 611-3 ,2024-06-19,2027-06-18,Y,안산시 산단환경과,고무제품제조업,5,5,2024-10-24
2018-06-19,2024,(주)신성테크놀로지,한형철,경기도 안산시 단원구 능안로 19,경기도 안산시 단원구 목내동 472-2 ,2024-06-19,2027-06-18,Y,안산시 산단환경과,반도체 제조용 기계 제조업,,5,2024-10-24
2018-06-19,2024,(주)신흥,이용익,경기도 안산시 단원구 동산로27번길 42-25, 경기도 안산시 단원구 원시동 769-14  ,2022-04-18,2025-04-17,Y,안산시 산단환경과,치과용기기제조업,,5,2024-10-24
2006-04-18,2024,(주)에스제이엠,"김용호,강춘기",경기도 안산시 단원구 산단로67번길 75, 경기도 안산시 단원구 목내동 404-3 ,2022-04-18,2025-04-17,Y,안산시 산단환경과,금속파스너 및 나사제품 제조업,5,,2024-10-24
2006-04-18,2024,(주)에프에프에이,김무성,경기도 안산시 단원구 신원로 99 , 경기도 안산시 단원구 성곡동 633 ,2022-08-22,2025-08-21,Y,안산시 산단환경과,동물용사료 및 조제식품 제조업,5,,2024-10-24
2006-04-18,2024,(주)오양기공,조정호,경기도 안산시 단원구 강촌로 81, 경기도 안산시 단원구 성곡동 641-5 ,2022-08-22,2025-08-21,Y,안산시 산단환경과,기어및동력전달장치제조업외5종,4,,2024-10-24
2011-08-22,2024,(주)우창금속,박희춘,경기도 안산시 단원구 해안로 309-14, 경기도 안산시 단원구 초지동 653 ,2022-04-18,2025-04-17,Y,안산시 산단환경과,금속열처리업,4,5,2024-10-24
2006-04-18,2024,(주)원앤씨,진경복,경기도 안산시 단원구 별망로269번길 86, 경기도 안산시 단원구 성곡동 638-7 ,2023-12-15,2026-12-14,Y,안산시 산단환경과,그외기타분류안된화학제품제조업,5,5,2024-10-24
2009-12-15,2024,(주)인실리코,최승훈,경기도 안산시 단원구 산단로 112-19, 경기도 안산시 단원구 원시동 781-2 ,2022-03-01,2025-02-28,Y,안산시 산단환경과,그 외 기타 분류안된 화학제품제조업,4,5,2024-10-24
2008-03-01,2024,(주)잉크테크,대표이사,경기도 안산시 단원구 능안로 108, 경기도 안산시 단원구 신길동 1124 ,2023-12-15,2026-12-14,Y,안산시 산단환경과,인쇄잉크제조업,4,5,2024-10-24
2013-01-04,2024,(주)중앙바이오텍,대표이사,경기도 안산시 단원구 강촌로 271-30, 경기도 안산시 단원구 목내동 477 ,2024-06-19,2027-06-18,Y,안산시 산단환경과,동물용 의약품 제조업,5,5,2024-10-24
2018-06-19,2024,(주)켐트로스 안산공장,이동훈,경기도 안산시 단원구 별망로 270번길 28, 경기도 안산시 단원구 성곡동 623 ,2022-03-01,2025-02-28,Y,안산시 산단환경과,접착제 및 젤라틴 제조업,4,5,2024-10-24
2008-03-01,2024,(주)피.와이.씨,대표이사,경기도 안산시 단원구 원시로 188, 경기도 안산시 단원구 원시동 723-5 ,2022-05-26,2025-05-25,Y,안산시 산단환경과,계면활성제제조업,4,5,2024-10-24
2006-05-26,2024,(주)한국백신,최덕호,경기도 안산시 단원구 목내로 128 , 경기도 안산시 단원구 목내동 394 ,2023-12-15,2026-12-14,Y,안산시 산단환경과,그외기타의료용기기제조업,5,5,2024-10-24
2009-02-25,2024,(주)한솔코텍,이민희,경기도 안산시 단원구 신원로 133번길 95, 경기도 안산시 단원구 신길동 1058-4 ,2024-06-19,2027-06-18,Y,안산시 산단환경과,도장및기타피막처리업,4,5,2024-10-24
2018-06-19,2024,(주)한일정공,임재윤,경기도 안산시 단원구 해봉로 231,경기도 안산시 단원구 성곡동 647-1 ,2023-11-05,2026-11-04,Y,안산시 산단환경과,자동차차체용부품제조업,,5,2024-10-24
2006-05-26,2024,내쇼날포리콜(주),김희국,경기도 안산시 단원구 장자골로 22 , 경기도 안산시 단원구 성곡동 606-3 ,2022-05-26,2025-05-25,Y,안산시 산단환경과,"염료,조제무기안료, 유연제및기타착색제 제조업",5,,2024-10-24
2009-02-25,2024,대성산업(주)안산공단주유소,대표이사,경기도 안산시 단원구 산단로 313 , 경기도 안산시 단원구 신길동 1230 ,2023-02-25,2026-02-24,Y,안산시 산단환경과,운수장비수선및세차시설,,5,2024-10-24
